No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah
686, 0318217,SMK MUHAMMADIYAH 2 JATINOM,20309530,S,405,70.5,47.15,38.23,77.39,"58,32",03,18,217
687, 0318218,SMK MUHAMMADIYAH 2 KLATEN UTARA,20309695,S,252,71.05,49.67,38.18,78.65,"59,39",03,18,218
688, 0318219,SMK MUHAMMADIYAH 2 WEDI,20309529,S,89,65.12,40.11,28.34,75.22,"52,20",03,18,219
689, 0318220,SMK MUHAMMADIYAH 3 KLATEN TENGAH,20309694,S,76,74.76,49.92,38.22,76.95,"59,96",03,18,220
690, 0318221,SMK MUHAMMADIYAH 3 KLATEN UTARA,20309528,S,272,68.41,45.49,33.7,75.68,"55,82",03,18,221
691, 0318222,SMK MUHAMMADIYAH 4 KLATEN TENGAH,20340727,S,102,65.88,44.35,27.06,75.37,"53,17",03,18,222
692, 0318223,SMK MUHAMMADIYAH CAWAS,20309699,S,180,69.77,46.51,34.33,75.45,"56,52",03,18,223
693, 0318224,SMK MUHAMMADIYAH DELANGGU,20309693,S,204,69.85,46.81,32.54,77.71,"56,73",03,18,224
694, 0318226,SMK NASIONAL KLATEN,20309524,S,50,67.44,44.56,27.4,72.23,"52,91",03,18,226
695, 0318227,SMK PGRI PEDAN,20309512,S,206,73.22,49.75,39.72,78.72,"60,35",03,18,227
696, 0318228,SMK PGRI KLATEN,20309511,S,9,61.56,46.22,25.28,69.1,"50,54",03,18,228
697, 0318229,SMK PEMBANGUNAN DELANGGU,20309513,S,21,71.24,46.95,43.93,81.77,"60,97",03,18,229
698, 0318230,SMK PEMULA PRAMBANAN,20309523,S,3,54.67,38,48.33,68.63,"52,41",03,18,230
699, 0318231,SMK PETRA KARANGDOWO,20331626,S,18,63.11,43.22,28.33,71.36,"51,51",03,18,231
700, 0318232,SMK PETRUS KANISIUS KLATEN,20309522,S,157,67.87,50.45,33.85,76.93,"57,28",03,18,232
701, 0318235,SMK SWADAYA KLATEN,20309509,S,47,73.79,49.06,28.03,75.08,"56,49",03,18,235
702, 0318237,SMK TEKSTIL PEDAN,20309520,S,18,64.56,37.89,26.81,76.98,"51,56",03,18,237
703, 0318238,SMK TUNGGAL CIPTA MANISRENGGO,20309519,S,223,66.27,46.05,31.86,75.93,"55,03",03,18,238
704, 0318240,SMK WASIS JOGONALAN,20309508,S,54,68.67,46.93,34.21,78.58,"57,10",03,18,240
705, 0318241,SMK WIDYA KUSUMA,20309500,S,44,58.45,39.14,23.35,75.01,"48,99",03,18,241
706, 0318242,SMK YP DELANGGU,20309499,S,89,62.9,44.76,28.57,73.6,"52,46",03,18,242
707, 0318243,SMK BINA PATRIA BANGSA,20309507,S,18,68.78,47.22,32.36,75.05,"55,85",03,18,243
708, 0318244,SMK BERBUDI GANTIWARNO,20331627,S,76,70.58,44.76,32.8,76.69,"56,21",03,18,244
709, 0318245,SMK NEGERI 1 TULUNG,20361083,N,83,71.88,45.49,33.13,75.65,"56,54",03,18,245
710, 0318246,SMK TUNAS CAWAS,20360578,S,4,72,42.5,31.88,74.83,"55,30",03,18,246
711, 0318247,SMK NEGERI 1 ROTA BAYAT,20357317,N,181,75.36,51.73,45.01,80.36,"63,12",03,18,247
712, 0318248,SMK KESEHATAN RAHANI HUSADA KLATEN,20362592,S,87,77.31,52,46.29,79.99,"63,90",03,18,248
713, 0318249,SMK MUHAMMADIYAH 1 CEPER,20362141,S,24,56.58,35.92,19.79,77.91,"47,55",03,18,249
714, 0318251,SMK BHAKTI ANINDYA,60728976,S,6,67,44.67,25.42,80.2,"54,32",03,18,251
715, 0318904,SMK NEGERI 2 KLATEN,20309526,N,459,76.11,65.83,63.54,0,"51,37",03,18,904
716, 0319001,SMK NEGERI 1 KEDAWUNG,20312909,N,519,68.86,44.14,34.02,74.12,"55,29",03,19,001
717, 0319002,SMK NEGERI 1 SRAGEN,20313046,N,404,79.07,61.98,64.43,80.84,"71,58",03,19,002
718, 0319003,SMK NEGERI 2 SRAGEN,20312904,N,527,75.17,59.91,56.74,74.57,"66,60",03,19,003
719, 0319004,SMK NEGERI 1 MONDOKAN,20312893,N,324,74.79,51.18,50.08,78.19,"63,56",03,19,004
720, 0319005,SMK NEGERI 1 KALIJAMBE,20313042,N,173,71.92,57.79,52.56,71.81,"63,52",03,19,005
721, 0319006,SMK NEGERI 1 MIRI,20312894,N,368,76.14,57.09,53.97,72.37,"64,89",03,19,006
722, 0319007,SMK NEGERI 1 PLUPUH,20330924,N,218,73.5,52.39,50.18,76.97,"63,26",03,19,007
723, 0319008,SMK NEGERI 1 GESI,20312897,N,219,73.6,51.16,40.66,75.01,"60,11",03,19,008
724, 0319009,SMK NEGERI 1 GONDANG,20312896,N,357,70.13,48.07,37.82,73.4,"57,36",03,19,009
725, 0319200,SMK AL ISLAM KALIJAMBE,20313041,S,76,66.11,53.34,46.28,69.71,"58,86",03,19,200
726, 0319201,SMK BINA TARUNA,20313039,S,213,71.53,47.16,42.83,73.5,"58,76",03,19,201
727, 0319202,SMK BINAWIYATA KARANGMALANG SRAGEN,20313038,S,271,66.4,44.31,34.23,75.73,"55,17",03,19,202
728, 0319203,SMK DIAN KIRANA 1 SRAGEN,20313024,S,280,64.76,42.02,29.63,73.74,"52,54",03,19,203
729, 0319204,SMK KOSGORO 1 SRAGEN,20312916,S,214,65.98,49.2,33.17,79.26,"56,90",03,19,204
730, 0319205,SMK KOSGORO 2 SRAGEN,20313026,S,47,68.43,61.7,28.46,71.12,"57,43",03,19,205
731, 0319206,SMK KRISTEN KARANGMALANG,20313025,S,28,64.71,42.36,29.02,74.38,"52,62",03,19,206
732, 0319207,SMK MUHAMMADIYAH 1 SRAGEN,20313036,S,165,71.81,47.64,39.03,72.77,"57,81",03,19,207
733, 0319208,SMK MUHAMMADIYAH 2 SRAGEN,20312901,S,322,67.25,45.8,32.59,71.21,"54,21",03,19,208
734, 0319209,SMK MUHAMMADIYAH 3 GEMOLONG,20313037,S,138,74.55,53.26,37.05,75.81,"60,17",03,19,209
735, 0319210,SMK MUHAMMADIYAH 4 SRAGEN,20313035,S,240,74.48,47.39,38.05,76.53,"59,11",03,19,210
736, 0319211,SMK MUHAMMADIYAH 5 MIRI,20312900,S,32,68.94,59.44,47.42,68.83,"61,16",03,19,211
737, 0319212,SMK MUHAMMADIYAH 6 GEMOLONG,20312899,S,150,67.17,68.85,47.82,75.86,"64,93",03,19,212
738, 0319213,SMK MUHAMMADIYAH 7 SAMBUNGMACAN SRAGEN,20312898,S,57,65.05,51.37,35,72.34,"55,94",03,19,213
739, 0319214,SMK MUHAMMADIYAH 8 TANON,20313047,S,20,68,46.7,32.5,73.89,"55,27",03,19,214
740, 0319215,SMK NAHDLATUL ULAMA TANON,20312914,S,51,65.88,42.67,34.22,70.59,"53,34",03,19,215
741, 0319216,SMK PGRI KARANGMALANG SRAGEN,20313045,S,160,68.71,46.41,29.06,75.82,"55,00",03,19,216
742, 0319217,SMK SAKTI GEMOLONG,20312913,S,652,73.89,66.6,64.88,76.9,"70,57",03,19,217
743, 0319218,SMK SLAMET RIYADI GEMOLONG,20312912,S,64,67.84,71.19,62.38,76.34,"69,44",03,19,218
744, 0319219,SMK SUKAWATI GEMOLONG,20313044,S,154,72.74,53.06,42.76,75.77,"61,08",03,19,219
745, 0319220,SMK SUKAWATI SRAGEN,20312911,S,280,62.82,42.3,31.22,72.17,"52,13",03,19,220
746, 0319221,SMK XAVERIUS KARANGMALANG SRAGEN,20312910,S,7,53.43,43.43,28.21,69.13,"48,55",03,19,221
747, 0319222,SMK TELKOM TRISAKTI GEMOLONG,20330923,S,54,74.37,78.44,75.09,77.54,"76,36",03,19,222
748, 0319223,SMK MIFTAHUL HUDA SAMBUNGMACAN,20312902,S,21,67.71,43.43,36.79,73.19,"55,28",03,19,223
749, 0319224,SMK AL HIKMAH TANON,20313043,S,23,69.13,60.09,46.85,73.57,"62,41",03,19,224
750, 0319225,SMK AL MUSANNI GEMOLONG,20312905,S,14,64.29,35.14,23.39,75.33,"49,54",03,19,225
751, 0319226,SMK AT TAQWA MUHAMMADIYAH MIRI,20312915,S,37,71.95,48.86,48.31,74.26,"60,85",03,19,226
752, 0319227,SMK AN-NAJAH GONDANG,20313040,S,38,59.74,43,33.82,68.65,"51,30",03,19,227
753, 0319228,SMK WIDYA WISATA,20349072,S,33,69.58,49.09,37.58,76.19,"58,11",03,19,228
754, 0319229,SMK TUNAS HARAPAN,20351247,S,139,67.54,47.21,40.2,79.52,"58,62",03,19,229
755, 0319231,SMK PELITA BANGSA,20362088,S,76,68.79,47.63,38.49,70.82,"56,43",03,19,231
756, 0319232,SMK MUHAMMADIYAH 9 GONDANG,20354488,S,46,61.78,38.48,23.8,72.21,"49,07",03,19,232
757, 0319233,SMK PGRI 3 TANON,20351276,S,25,57.28,38.8,27.2,73.04,"49,08",03,19,233
758, 0319234,SMK WALISONGO KARANGMALANG,20360401,S,41,69.32,44.49,44.39,73.68,"57,97",03,19,234
759, 0319235,SMK KOSGORO 3 KEDAWUNG,20361228,S,48,67.88,43.5,31.67,67.37,"52,61",03,19,235
760, 0319236,SMK CITRA MEDIKA SRAGEN,69767776,S,84,77.38,55.31,49.76,77.23,"64,92",03,19,236
761, 0319237,SMK MUHAMMADIYAH10 MASARAN,69773510,S,75,64.72,43.15,27.43,70.04,"51,34",03,19,237
762, 0319238,SMK MITRA HUSADA,69773511,S,19,72.84,48.42,44.87,76.93,"60,77",03,19,238
763, 0319239,SMK SINAR PERMATA BANGSA,69788118,S,16,63.38,42.63,25,74.75,"51,44",03,19,239
764, 0319330,SMK NEGERI 1 JENAR,20312895,N,106,71.4,45.32,36.46,78.02,"57,80",03,19,330
765, 0319331,SMK NEGERI 1 SAMBIREJO,20312903,N,261,70.31,49.14,39.26,69.87,"57,15",03,19,331
766, 0320001,SMK NEGERI 1 SUKOHARJO,20310436,N,352,81.92,71.82,75.7,83.41,"78,21",03,20,001
767, 0320002,SMK NEGERI 2 SUKOHARJO,20310441,N,516,77.33,68.71,61.86,79.16,"71,77",03,20,002
768, 0320003,SMK NEGERI 3 SUKOHARJO,20337802,N,300,75.67,54.15,44.96,76.49,"62,82",03,20,003
769, 0320004,SMK NEGERI 4 SUKOHARJO,20360953,N,159,69.96,46.65,34.36,74.36,"56,33",03,20,004
770, 0320005,SMK NEGERI 5 SUKOHARJO,69727079,N,182,70.73,48.13,33.21,77.4,"57,37",03,20,005
771, 0320006,SMK NEGERI 6 SUKOHARJO,20360954,N,212,78.3,54.47,38.95,75.44,"61,79",03,20,006
772, 0320202,SMK BINA PATRIA 1 SUKOHARJO,20310458,S,432,70.75,63.7,45.41,77.58,"64,36",03,20,202
773, 0320203,SMK BINA PATRIA 2 SUKOHARJO,20310459,S,344,67.33,56.45,34.55,80.85,"59,80",03,20,203
774, 0320204,SMK COKROAMINOTO SUKOHARJO,20310460,S,36,58.33,45.11,23.19,75.28,"50,48",03,20,204
775, 0320206,SMK HARAPAN KARTASURA,20310451,S,130,69.49,44.94,31.04,69.5,"53,74",03,20,206
776, 0320207,SMK IPTEK WERU,20310450,S,306,71.97,52.73,38.24,75.49,"59,61",03,20,207
777, 0320208,SMK KASATRIAN SOLO SUKOHARJO,20310446,S,484,65.6,43.55,29.66,67.98,"51,70",03,20,208
778, 0320209,SMK KRIYA SAHID SUKOHARJO,20310447,S,186,74.86,50.83,42.23,77.98,"61,48",03,20,209
779, 0320210,SMK MUHAMMADIYAH 1 SUKOHARJO,20310439,S,520,71.09,53.89,43.41,72.23,"60,16",03,20,210
780, 0320211,SMK MUHAMMADIYAH 2 SUKOHARJO,20310440,S,141,69.55,46.4,29.43,67.44,"53,21",03,20,211
781, 0320212,SMK MUHAMMADIYAH KARTASURA,20310449,S,158,69.87,47.77,34.02,77.11,"57,19",03,20,212
782, 0320213,SMK MUHAMMADIYAH WATUKELIR,20310423,S,161,75.53,52.05,42.84,76.51,"61,73",03,20,213
783, 0320214,SMK PGRI SUKOHARJO,20310438,S,274,70.2,50.11,37.47,77.78,"58,89",03,20,214
784, 0320215,SMK PELAYARAN PANCASILA KARTASURA,20310448,S,117,70.67,67.81,57.86,77.46,"68,45",03,20,215
785, 0320216,SMK PEMBANGUNAN NASIONAL,20310442,S,350,68.55,46.22,30.16,78.12,"55,76",03,20,216
786, 0320217,SMK PERTIWI KARTASURA,20310437,S,50,72.4,48.84,38.85,79.23,"59,83",03,20,217
787, 0320218,SMK PRAWIRA MARTA KARTASURA,20310452,S,97,67.18,44.78,34.38,75.65,"55,50",03,20,218
788, 0320219,SMK SARASWATI GROGOL SUKOHARJO,20310453,S,88,71.23,45.98,30.68,78.5,"56,60",03,20,219
789, 0320220,SMK TAMANSISWA SUKOHARJO,20310454,S,209,74.46,51.35,36.71,78.99,"60,38",03,20,220
790, 0320221,SMK TUNAS BANGSA TAWANGSARI,20310443,S,247,74.15,57.12,50.72,76.85,"64,71",03,20,221
791, 0320222,SMK VETERAN 1 SUKOHARJO,20310445,S,268,67.81,49.11,38.61,73.98,"57,38",03,20,222
792, 0320224,SMK IMAM SYUHODO,20337801,S,92,69.37,67.28,43.26,73.27,"63,30",03,20,224
793, 0320225,SMK ASSALAAM,20330886,S,18,74.56,60.67,47.92,72.39,"63,89",03,20,225
794, 0321001,SMK NEGERI 1 WONOGIRI,20311325,N,374,81.04,66.93,68.18,82.74,"74,72",03,21,001
795, 0321002,SMK NEGERI 2 WONOGIRI,20311043,N,442,79.43,67.01,63.79,77.6,"71,96",03,21,002
796, 0321003,SMK NEGERI 1 BULUKERTO,20338520,N,323,78.25,55.5,48.68,75.8,"64,56",03,21,003
797, 0321004,SMK NEGERI 1 GIRITONTRO,20338521,N,148,74.07,56.36,41.57,76.57,"62,14",03,21,004
798, 0321005,SMK NEGERI 1 KISMANTORO,20341324,N,128,74.38,53.16,43.59,74.1,"61,31",03,21,005
799, 0321006,SMK NEGERI 1 PRACIMANTORO,20360536,N,69,76.41,54.96,42.64,82.05,"64,02",03,21,006
800, 0321007,SMK NEGERI 1 JATIROTO,69760777,N,147,79.2,58.27,51.97,76.37,"66,45",03,21,007
801, 0321200,SMK AMERTA WONOGIRI,20311054,S,33,75.15,57.03,47.05,74.95,"63,55",03,21,200
802, 0321201,SMK BAKTI NUSANTARA SIDOHARJO,20311329,S,73,79.32,56.96,45.99,76.33,"64,65",03,21,201
803, 0321202,SMK GAJAH MUNGKUR 1 WURYANTORO,20311328,S,270,71.69,51.76,37.15,79.84,"60,11",03,21,202
804, 0321203,SMK GAJAH MUNGKUR 2 GIRITONTRO,20338518,S,77,71.22,51.82,32.18,79.16,"58,60",03,21,203
805, 0321204,SMK GAJAH MUNGKUR WONOGIRI,20311049,S,56,67.21,53.21,38.17,72.71,"57,83",03,21,204
806, 0321205,SMK GIRI WACANA EROMOKO,20311048,S,95,69.05,47.24,35.71,76.07,"57,02",03,21,205
807, 0321206,SMK IBU S. SOEMOHARMANTO JATIPURNO,20311047,S,282,74.07,54.67,44.2,72.81,"61,44",03,21,206
808, 0321207,SMK MUHAMMADIYAH 1 BATURETNO,20338519,S,321,74.91,64.37,37.49,80.81,"64,40",03,21,207
809, 0321208,SMK MUHAMMADIYAH 2 WURYANTORO,20311327,S,213,77.31,52.33,42.54,75.57,"61,94",03,21,208
810, 0321209,SMK MUHAMMADIYAH 3 GIRIWOYO,20311326,S,35,74.46,51.37,37.86,77.93,"60,41",03,21,209
811, 0321210,SMK MUHAMMADIYAH 4 WONOGIRI,20311045,S,57,66.49,46.32,33.07,73.42,"54,83",03,21,210
812, 0321211,SMK MUHAMMADIYAH 5 PURWANTORO,20311044,S,103,68.12,47.18,33.18,71.36,"54,96",03,21,211
813, 0321212,SMK MUHAMMADIYAH 6 TIRTOMOYO,20311046,S,147,73.36,69.39,58.64,76.42,"69,45",03,21,212
814, 0321213,SMK PGRI 1 WONOGIRI,20311304,S,2,80,51,45,75.75,"62,94",03,21,213
815, 0321214,SMK PGRI 2 WONOGIRI,20311039,S,34,68.24,48.24,30.74,74.07,"55,32",03,21,214
816, 0321215,SMK PANCA MARGA BHAKTI BATURETNO,20311042,S,72,63.81,41.97,27.5,70.6,"50,97",03,21,215
817, 0321216,SMK PANCASILA 1 WONOGIRI,20311041,S,461,70.39,51.16,39.33,71.9,"58,20",03,21,216
818, 0321217,SMK PANCASILA 10 WURYANTORO,20340872,S,40,68.25,46.55,40.69,77.04,"58,13",03,21,217
819, 0321218,SMK PANCASILA 2 JATISRONO,20337648,S,299,71.55,51.82,38.59,73.35,"58,83",03,21,218
820, 0321219,SMK PANCASILA 3 BATURETNO,20338523,S,328,69.55,50.83,35.59,77.88,"58,46",03,21,219
821, 0321220,SMK PANCASILA 4 BATURETNO,20311324,S,117,74.58,53.26,36.45,77.71,"60,50",03,21,220
822, 0321221,SMK PANCASILA 5 WONOGIRI,20311323,S,143,71.61,50.28,31.42,72.38,"56,42",03,21,221
823, 0321222,SMK PANCASILA 6 JATISRONO,20311322,S,299,79.98,60.76,55.86,78.42,"68,76",03,21,222
824, 0321223,SMK PANCASILA 7 PRACIMANTORO,20311321,S,189,70.92,52.91,34.46,81.13,"59,86",03,21,223
825, 0321224,SMK PANCASILA 8 SLOGOHIMO,20337649,S,152,79.08,56.78,43.16,76.98,"64,00",03,21,224
826, 0321225,SMK PANCASILA 9 GIRIWOYO,20311040,S,89,67.1,43.8,28.06,72.87,"52,96",03,21,225
827, 0321226,SMK RISTEK NGUNTORONADI,20311052,S,51,69.76,46.59,31.67,69.62,"54,41",03,21,226
828, 0321227,SMK SUDIRMAN 1 WONOGIRI,20311068,S,248,76.47,52.76,37.19,77.48,"60,98",03,21,227
829, 0321228,SMK SUDIRMAN 2 WONOGIRI,20311051,S,9,77.11,52.22,36.39,80.24,"61,49",03,21,228
830, 0321229,SMK SULTAN AGUNG TIRTOMOYO,20311050,S,187,77.69,68.06,50.09,77.42,"68,32",03,21,229
831, 0321230,SMK VETERAN MANYARAN,20311053,S,36,73.17,54.78,42.15,78.92,"62,26",03,21,230
832, 0321231,SMK PANCASILA 11 GIRIWOYO,20353877,S,33,66.3,44.91,30.45,78.8,"55,12",03,21,231
833, 0321232,SMK KARYA MEDIA TIRTOMOYO,20341364,S,20,75.1,48,30.75,71.6,"56,36",03,21,232
834, 0321233,SMK BHAKTI MULIA WONOGIRI,20311309,S,171,80.71,55.87,46.78,76.41,"64,94",03,21,233
835, 0321234,SMK IT AL HUDA,69760853,S,11,76.91,53.64,50,75.73,"64,07",03,21,234
836, 0321235,SMK GAJAH MUNGKUR SIDOHARJO,69762770,S,28,68,46.57,25.71,71.28,"52,89",03,21,235
837, 0322001,SMK NEGERI 1 BLORA,20314900,N,466,78.7,63.21,59.01,78.59,"69,88",03,22,001
838, 0322002,SMK NEGERI 2 BLORA,20314864,N,341,82.31,58.38,54.01,85.02,"69,93",03,22,002
839, 0322003,SMK NEGERI I CEPU,20314865,N,338,76.73,52.78,44.97,77.97,"63,11",03,22,003
840, 0322004,SMK N 1 JATI,69762630,N,108,69.24,46.5,37.85,72.4,"56,50",03,22,004
841, 0322200,SMK KATOLIK SANTO PIUS BLORA,20314899,S,110,67.36,57.71,40.16,75.68,"60,23",03,22,200
842, 0322201,SMK KATOLIK SANTO YOSEF CEPU,20330043,S,43,68.19,48.93,30.41,73.88,"55,35",03,22,201
843, 0322202,"SMK KATOLIK ST. LOUIS RANDUBLATUNG, BLORA",20314905,S,92,67.35,41.5,31.6,72.68,"53,28",03,22,202
844, 0322203,SMK KHOZINATUL ULUM TODANAN,20314904,S,265,65.03,46.61,36.76,74.57,"55,74",03,22,203
845, 0322204,SMK KRISTEN BLORA,20314898,S,75,70.08,45.17,29.4,72.72,"54,34",03,22,204
846, 0322205,SMK MAARIF TUNJUNGAN-BLORA,20314903,S,150,68.67,42.84,30.47,74.41,"54,10",03,22,205
847, 0322206,SMK MIGAS CEPU,20314897,S,520,71.58,61.87,46.84,79.16,"64,86",03,22,206
848, 0322207,SMK MUHAMMADIYAH 1 BLORA,20314896,S,527,69.73,56.65,40.87,81.4,"62,16",03,22,207
849, 0322208,SMK MUHAMMADIYAH 1 CEPU,20330039,S,54,71.44,49.44,34.91,73.19,"57,25",03,22,208
850, 0322209,SMK MUHAMMADIYAH 1 KEDUNGTUBAN,20314880,S,65,68.55,49.32,35.23,73.83,"56,73",03,22,209
851, 0322210,SMK MUHAMMADIYAH 2 CEPU,20314879,S,212,63.72,42.35,30.66,75.19,"52,98",03,22,210
852, 0322211,SMK NU KEDUNGTUBAN,20314863,S,140,68.46,54.97,37.79,75.06,"59,07",03,22,211
853, 0322212,SMK NU KUNDURAN,20314862,S,210,68.5,42.99,32.55,73.34,"54,35",03,22,212
854, 0322213,SMK NU TUNJUNGAN,20330040,S,43,56.84,46.09,25.76,69.84,"49,63",03,22,213
855, 0322214,SMK PGRI BLORA,20330042,S,126,73.21,44.84,46.41,76.19,"60,16",03,22,214
856, 0322215,SMK PGRI CEPU,20330041,S,59,66.14,46.14,33.52,73.08,"54,72",03,22,215
857, 0322216,SMK PSM RANDUBLATUNG,20314902,S,206,75.91,49.23,37.77,79.71,"60,66",03,22,216
858, 0322217,SMK AL BALAD JATI,20314901,S,33,67.21,42.91,45.45,72.85,"57,11",03,22,217
859, 0322218,SMK AL-HIKMAH NGADIPURWO BLORA,20338603,S,61,70.92,45.05,36.89,70.64,"55,88",03,22,218
860, 0322219,SMK MUHAMMADIYAH RANDUBLATUNG,20330038,S,268,68.61,43.87,36.02,73.21,"55,43",03,22,219
861, 0322220,SMK NURUL HUDA JIKEN,20340783,S,46,68.83,44.87,34.29,70.7,"54,67",03,22,220
862, 0322221,SMK MUHAMMADIYAH JATI,20338674,S,26,69.62,51,39.62,73.4,"58,41",03,22,221
863, 0322222,SMK MUHAMMADIYAH KUNDURAN,20341245,S,71,67.52,45.66,36.9,72.76,"55,71",03,22,222
864, 0322223,SMK AN NUR BANJAREJO,20360474,S,45,73.51,49.33,35.78,73.58,"58,05",03,22,223
865, 0322224,SMK NURUL HUDA NGAWEN,20341175,S,103,74.35,52.31,52.69,78.67,"64,51",03,22,224
866, 0322225,SMK PGRI KUNDURAN,20350717,S,20,61.1,42.6,24.63,70.2,"49,63",03,22,225
867, 0322226,SMK MUJAHIDIN SAMBONG,20361207,S,5,62.4,49.6,32.5,69.84,"53,59",03,22,226
868, 0322227,SMK AL-MUSTAWA RANDUBLATUNG,20361878,S,8,67,37.5,26.25,63.84,"48,65",03,22,227
869, 0322228,SMK MUHAMMADIYAH 2 BLORA,20362436,S,130,64.69,46.35,33.96,73.3,"54,58",03,22,228
870, 0322229,SMK AL ALIF TUNJUNGAN,20360959,S,35,68.23,40.57,26.79,67.69,"50,82",03,22,229
871, 0322230,SMK PELITA JAPAH,20364884,S,45,68.58,40.22,35.17,75.33,"54,83",03,22,230
872, 0322231,SMK BHAKTI MULIA BLORA,60730375,S,111,69.78,44.38,31.37,71.93,"54,37",03,22,231
873, 0322232,SMK BHAKTI HUSADA PGRI BLORA,20362312,S,150,75.09,47.4,37.42,77.74,"59,41",03,22,232
874, 0322233,SMK AL IKHLAS BLORA,20364885,S,27,63.48,43.7,32.96,67.13,"51,82",03,22,233
875, 0322234,SMK AL GHOZALI JIKEN,20364886,S,20,66.6,41.3,28.5,73.75,"52,54",03,22,234
876, 0322235,SMK MUHAMMADIYAH TODANAN,20362309,S,56,70.86,54.07,34.42,77.58,"59,23",03,22,235
877, 0322236,SMK NUSANTARA BANJAREJO,69864019,S,5,65.2,42,19,63.88,"47,52",03,22,236
878, 0322237,SMK KRIDHA DOPLANG,20362310,S,14,71,40.71,22.5,66.16,"50,09",03,22,237
879, 0322238,SMK SANTIKA JIKEN,69758977,S,47,62.81,38.43,27.45,70.93,"49,91",03,22,238
880, 0322239,SMK MUHAMMADIYAH KRADENAN,20362272,S,41,65.9,41.66,29.15,69.77,"51,62",03,22,239
881, 0322240,SMK NU 1 KRADENAN,69755795,S,3,61.33,38,28.33,65.8,"48,37",03,22,240
882, 0322241,SMK AN NUR GALUK,69757476,S,31,71.29,54,47.66,73.42,"61,59",03,22,241
883, 0322242,SMK MUHAMMADIYAH NGAWEN,20362607,S,53,61.02,41.7,27.55,73.46,"50,93",03,22,242
884, 0322243,SMK JATI KUSUMO BOGOREJO,69902097,S,15,74.27,55.07,35.5,69.6,"58,61",03,22,243
885, 0322244,SMK WALI SONGO NGAWEN,69830619,S,18,65.67,34.44,27.08,64.57,"47,94",03,22,244
886, 0322245,SMK SULTAN AGUNG,69787205,S,20,66.3,42,38.38,67.9,"53,65",03,22,245
887, 0322246,SMK AL MUHAMMAD CEPU,69786705,S,29,68.76,42.48,27.16,67.33,"51,43",03,22,246
888, 0323001,SMK NEGERI 1 JEPARA,20318418,N,352,71.73,50.29,40.75,79.85,"60,66",03,23,001
889, 0323002,SMK NEGERI 2 JEPARA,20330219,N,296,69.91,49.08,41.57,79.98,"60,14",03,23,002
890, 0323003,SMK NEGERI 3 JEPARA,20318318,N,421,80.26,68.57,59.5,82.96,"72,82",03,23,003
891, 0323004,SMK NEGERI 1 KARIMUNJAWA,20318417,N,42,67.52,52.29,36.61,81.18,"59,40",03,23,004
892, 0323005,SMK NEGERI 1 KEDUNG,20330218,N,233,72.61,61.34,39.35,77.01,"62,58",03,23,005
893, 0323006,SMK NEGERI 1 KALINYAMATAN,20341442,N,147,74.16,57.51,48.37,80.28,"65,08",03,23,006
894, 0323007,SMK NEGERI 1 BATEALIT,20360583,N,179,72.82,57.79,46.12,79.25,"64,00",03,23,007
895, 0323008,SMK NEGERI 1 BANGSRI,20360586,N,205,74.58,51.05,46.7,78.59,"62,73",03,23,008
896, 0323009,SMK NEGERI 1 PAKISAJI,20360584,N,138,70.55,45.28,41.41,79.13,"59,09",03,23,009
897, 0323200,SMK 17 AGUSTUS BANGSRI,20318336,S,69,63.83,43.57,31.88,75.49,"53,69",03,23,200
898, 0323201,SMK BHAKTI PRAJA JEPARA,20318419,S,108,70.02,74.13,37.06,77.14,"64,59",03,23,201
899, 0323202,SMK ISLAM AL HIKMAH MAYONG,20318435,S,403,67.69,46.33,39.39,76.02,"57,36",03,23,202
900, 0323203,SMK MUHAMMADIYAH 01 KELING,20318335,S,220,65.21,43.72,32.08,74.51,"53,88",03,23,203
901, 0323204,SMK WALISONGO PECANGAAN,20338635,S,187,68.11,63.98,38.84,77.64,"62,14",03,23,204
902, 0323205,SMK HASAN KAFRAWI MAYONG,20341440,S,66,64.85,45.21,33.41,75.62,"54,77",03,23,205
903, 0323206,SMK TAQ SADAMIYYAH BANGSRI,20338634,S,61,68.56,44.75,36.6,71.68,"55,40",03,23,206
904, 0323207,SMK ROUDLOTUL MUBTADIIN NALUMSARI,20331126,S,188,69.21,50.37,45.65,71.8,"59,26",03,23,207
905, 0323208,SMK AL MUNIR DONOROJO,20360944,S,20,62.9,39.7,27.25,71,"50,21",03,23,208
906, 0323209,SMK DATUK SINGARAJA KEDUNG,20338631,S,36,69,43.06,33.13,76.18,"55,34",03,23,209
907, 0323210,SMK ISLAM MANBAUL ULUM MAYONG,20341441,S,62,74.26,67.97,59.27,80.14,"70,41",03,23,210
908, 0323211,SMK TERPADU HADZIQIYYAH NALUMSARI,20338632,S,62,73.32,53.52,47.38,81.07,"63,82",03,23,211
909, 0323212,SMK ISLAM TSAMROTUL HUDA TAHUNAN,20338633,S,36,64.72,42.89,30.07,72.78,"52,62",03,23,212
910, 0323213,SMK AZ ZAHRA MLONGGO,20341439,S,54,66.7,49.07,30,75.05,"55,21",03,23,213
911, 0323214,SMK AL HAKIM AL FITROH PAKISAJI,20341436,S,4,51,34.5,25,62.93,"43,36",03,23,214
